facility_name,facility_type,facility_subtype,barangay,barangay_psgc,address,lat,lng,geocode_precision,ownership,bed_capacity
SAN ISIDRO V - BALAGBAG BARANGAY HEALTH STATION,health,Barangay Health Station,SAN ISIDRO,405808009,"SITIO BALAGBAG, SAN ISIDRO, RODRIGUEZ, RIZAL, Philippines",14.8136634,121.1645671,address_level,Government,0
SAN JOSE II LITEX- VACPA BARANGAY HEALTH STATION,health,Barangay Health Station,SAN JOSE,405808010,"OPEL STREET, LITEX VILLAGE, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",,,failed,Government,0
SAN RAFAEL II - WAWA BARANGAY HEALTH STATION,health,Barangay Health Station,SAN RAFAEL,405808011,"WAWA GROUND, SAN RAFAEL, RODRIGUEZ, RIZAL, Philippines",,,failed,Government,0
GERONIMO BARANGAY HEALTH STATION,health,Barangay Health Station,GERONIMO,405808003,"GREEN ROSE SUBDIVISION, GERONIMO, RODRIGUEZ, RIZAL, Philippines",,,failed,Government,0
NEPHROMED ASIA MEDICAL GROUP INCORPORATED,health,Dialysis Clinic,BURGOS,405808002,"BECCO STREET,, BURGOS, RODRIGUEZ, RIZAL, Philippines",,,failed,Private,0
HEALTH RITE DIAGNOSTIC SERVICES,health,Drug Testing Laboratory,SAN JOSE,405808010,"30 E. RODRIGUEZ HI-WAY, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",,,failed,Private,0
ST.IGNATIUS DE LOYOLA HEALTH CARE SERVICES,health,Clinical Laboratory,MANGGAHAN,405808005,"99 J.P RIZAL ST., MANGGAHAN, RODRIGUEZ, RIZAL, Philippines",,,failed,Private,0
SAN ISIDRO VI - SITIO PINTOR HEALTH CENTER,health,Barangay Health Station,SAN ISIDRO,405808009,"SITIO PINTOR, SAN ISIDRO, SAN ISIDRO, RODRIGUEZ, RIZAL, Philippines",,,failed,Government,0
RAFHA GLORIOUS CARE LYING - IN CLINIC,health,Birthing Home,SAN RAFAEL,405808011,"129 M.H. DEL PILAR ST, SAN RAFAEL, RODRIGUEZ, RIZAL, Philippines",,,failed,Private,4
RAFHA GLORIOUS CARE LYING-IN CLINIC,health,Birthing Home,SAN JOSE,405808010,"BLK 28 LOT 3 AMITYVILE SUBD, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",,,failed,Private,6
CCH RURAL HEALTH UNIT BIRTHING HOME,health,Rural Health Unit,BALITE,405808001,"147 J.P. RIZAL AVENUE, BALITE (POB.), RODRIGUEZ, RIZAL, Philippines",,,failed,Government,0
BALITE (POB.) BARANGAY HEALTH STATION,health,Barangay Health Station,BALITE,405808001,"LIBIS DIKE I, BALITE (POB.), RODRIGUEZ, RIZAL, Philippines",,,failed,Government,0
CCH RURAL HEALTH UNIT BIRTHING HOME,health,Birthing Home,BALITE,405808001,"147 J.P. RIZAL, BALITE (POB.), RODRIGUEZ, RIZAL, Philippines",,,failed,Government,4
